,ME_Id,EMC_Column_Name,EMU_Unit,ME_Value,EYM_YearMonth,ME_DateTimeRecord
0,241,Direct_Labor,1.00Bt,13000928.5,202306,2025-03-27 16:38:42.020
1,242,Indirect_Labor,1.00Bt,6866646.89,202306,2025-03-27 16:38:42.180
2,243,Outside_Process,1.00Bt,9696061.11,202306,2025-03-27 16:38:42.210
3,244,Indirect_Materials,1.00Bt,7518030.43,202306,2025-03-27 16:38:42.253
4,245,Repair_Maint,1.00Bt,839524.34,202306,2025-03-27 16:38:42.313
5,246,Electric_Power,1.00Bt,2203689.53,202306,2025-03-27 16:38:42.367
6,247,Depreciation,1.00Bt,4627427.03,202306,2025-03-27 16:38:42.423
7,248,Other_F_O_H,1.00Bt,4602124.2,202306,2025-03-27 16:38:42.477
8,249,Allocation,1.00Bt,2375175.75,202306,2025-03-27 16:38:42.517
9,250,S_Time_Utilization_min,1min,6772585.47,202306,2025-03-27 16:38:42.550
10,358,Material,1.00Bt,46153306.43,202306,2025-03-07 08:38:16.203
11,251,Direct_Labor,1.00Bt,12878645.81,202307,2025-03-27 16:38:42.640
12,252,Indirect_Labor,1.00Bt,6923069.51,202307,2025-03-27 16:38:42.663
13,253,Outside_Process,1.00Bt,9680192.99,202307,2025-03-27 16:38:42.693
14,254,Indirect_Materials,1.00Bt,6365693.27,202307,2025-03-27 16:38:42.720
15,255,Repair_Maint,1.00Bt,533305.53,202307,2025-03-27 16:38:42.757
16,256,Electric_Power,1.00Bt,2082870.66,202307,2025-03-27 16:38:42.800
17,257,Depreciation,1.00Bt,4637855.9,202307,2025-03-27 16:38:42.833
18,258,Other_F_O_H,1.00Bt,4321618.56,202307,2025-03-27 16:38:42.873
19,259,Allocation,1.00Bt,2345769.29,202307,2025-03-27 16:38:42.903
20,260,S_Time_Utilization_min,1min,6323394.21,202307,2025-03-27 16:38:42.967
21,359,Material,1.00Bt,45247790.46,202307,2025-03-07 08:38:16.860
22,261,Direct_Labor,1.00Bt,12465546.62,202308,2025-03-27 16:38:43.120
23,262,Indirect_Labor,1.00Bt,6807642.21,202308,2025-03-27 16:38:43.177
24,263,Outside_Process,1.00Bt,9132123.3,202308,2025-03-27 16:38:43.220
25,264,Indirect_Materials,1.00Bt,8772893.35,202308,2025-03-27 16:38:43.280
26,265,Repair_Maint,1.00Bt,481509.9,202308,2025-03-27 16:38:43.360
27,266,Electric_Power,1.00Bt,2160188.6,202308,2025-03-27 16:38:43.390
28,267,Depreciation,1.00Bt,4685936.71,202308,2025-03-27 16:38:43.433
29,268,Other_F_O_H,1.00Bt,4189573.73,202308,2025-03-27 16:38:43.470
30,269,Allocation,1.00Bt,2425290.6,202308,2025-03-27 16:38:43.527
31,270,S_Time_Utilization_min,1min,6693241.74,202308,2025-03-27 16:38:43.620
32,360,Material,1.00Bt,45652227.64,202308,2025-03-07 08:38:17.313
33,271,Direct_Labor,1.00Bt,13830834.71,202309,2025-03-27 16:38:43.870
34,272,Indirect_Labor,1.00Bt,7050357.78,202309,2025-03-27 16:38:43.930
35,273,Outside_Process,1.00Bt,9653669.59,202309,2025-03-27 16:38:44.083
36,274,Indirect_Materials,1.00Bt,10374598.23,202309,2025-03-27 16:38:44.167
37,275,Repair_Maint,1.00Bt,816815.66,202309,2025-03-27 16:38:44.217
38,276,Electric_Power,1.00Bt,2064189.21,202309,2025-03-27 16:38:44.273
39,277,Depreciation,1.00Bt,4681077.65,202309,2025-03-27 16:38:44.383
40,278,Other_F_O_H,1.00Bt,4858762.74,202309,2025-03-27 16:38:44.427
41,279,Allocation,1.00Bt,2411551.9,202309,2025-03-27 16:38:44.460
42,280,S_Time_Utilization_min,1min,7347695.35,202309,2025-03-27 16:38:44.500
43,361,Material,1.00Bt,46019331.86,202309,2025-03-07 08:38:17.853
44,281,Direct_Labor,1.00Bt,14348915.55,202310,2025-03-27 16:38:44.590
45,282,Indirect_Labor,1.00Bt,7480593.56,202310,2025-03-27 16:38:44.623
46,283,Outside_Process,1.00Bt,10223792.41,202310,2025-03-27 16:38:44.650
47,284,Indirect_Materials,1.00Bt,7126592.08,202310,2025-03-27 16:38:44.693
48,285,Repair_Maint,1.00Bt,886124.43,202310,2025-03-27 16:38:44.733
49,286,Electric_Power,1.00Bt,1586249.05,202310,2025-03-27 16:38:44.770
50,287,Depreciation,1.00Bt,6010293.63,202310,2025-03-27 16:38:44.810
51,288,Other_F_O_H,1.00Bt,6072059.63000001,202310,2025-03-27 16:38:44.860
52,289,Allocation,1.00Bt,2510391.4,202310,2025-03-27 16:38:44.907
53,290,S_Time_Utilization_min,1min,6631847.93,202310,2025-03-27 16:38:44.940
54,362,Material,1.00Bt,47621576.22,202310,2025-03-07 08:38:18.213
55,121,Direct_Labor,1.00Bt,14369798.83,202311,2025-03-27 16:38:45.123
56,122,Indirect_Labor,1.00Bt,7560849.93,202311,2025-03-27 16:38:45.143
57,123,Outside_Process,1.00Bt,10422678.16,202311,2025-03-27 16:38:45.170
58,124,Indirect_Materials,1.00Bt,6886511.4,202311,2025-03-27 16:38:45.213
59,125,Repair_Maint,1.00Bt,904514.91,202311,2025-03-27 16:38:45.260
60,126,Electric_Power,1.00Bt,1764283.12,202311,2025-03-27 16:38:45.293
61,127,Depreciation,1.00Bt,6025926.6,202311,2025-03-27 16:38:45.353
62,128,Other_F_O_H,1.00Bt,5291266.17,202311,2025-03-27 16:38:45.407
63,129,Allocation,1.00Bt,2575559.32,202311,2025-03-27 16:38:45.453
64,130,S_Time_Utilization_min,1min,6480733.48,202311,2025-03-27 16:38:45.493
65,363,Material,1.00Bt,45134710.03,202311,2025-03-07 08:38:18.907
66,393,F_O_H_total,1.00Bt,55801388.44,202311,2025-03-27 11:48:26.343
67,131,Direct_Labor,1.00Bt,13596275.61,202312,2025-03-27 16:38:45.593
68,132,Indirect_Labor,1.00Bt,7963474.47,202312,2025-03-27 16:38:45.643
69,133,Outside_Process,1.00Bt,10451686.91,202312,2025-03-27 16:38:45.680
70,134,Indirect_Materials,1.00Bt,9633511.98,202312,2025-03-27 16:38:45.723
71,135,Repair_Maint,1.00Bt,657519.0,202312,2025-03-27 16:38:45.763
72,136,Electric_Power,1.00Bt,1821569.81,202312,2025-03-27 16:38:45.813
73,137,Depreciation,1.00Bt,6152939.58,202312,2025-03-27 16:38:45.880
74,138,Other_F_O_H,1.00Bt,4452824.88,202312,2025-03-27 16:38:45.953
75,139,Allocation,1.00Bt,2661026.49,202312,2025-03-27 16:38:46.020
76,140,S_Time_Utilization_min,1min,6093218.35,202312,2025-03-27 16:38:46.103
77,364,Material,1.00Bt,46116241.59,202312,2025-03-07 08:38:19.680
78,394,F_O_H_total,1.00Bt,57390828.73,202312,2025-03-27 11:48:27.310
79,141,Direct_Labor,1.00Bt,14186352.45,202401,2025-03-27 16:38:46.283
80,142,Indirect_Labor,1.00Bt,7542143.75,202401,2025-03-27 16:38:46.343
81,143,Outside_Process,1.00Bt,10936307.95,202401,2025-03-27 16:38:46.397
82,144,Indirect_Materials,1.00Bt,7575130.18,202401,2025-03-27 16:38:46.447
83,145,Repair_Maint,1.00Bt,1575168.75,202401,2025-03-27 16:38:46.480
84,146,Electric_Power,1.00Bt,1993339.3,202401,2025-03-27 16:38:46.513
85,147,Depreciation,1.00Bt,6291194.33,202401,2025-03-27 16:38:46.563
86,148,Other_F_O_H,1.00Bt,6032909.6,202401,2025-03-27 16:38:46.600
87,149,Allocation,1.00Bt,2598450.85,202401,2025-03-27 16:38:46.640
88,150,S_Time_Utilization_min,1min,6165356.36,202401,2025-03-27 16:38:46.687
89,365,Material,1.00Bt,45581273.58,202401,2025-03-07 08:38:20.183
90,395,F_O_H_total,1.00Bt,58730997.16,202401,2025-03-27 11:48:30.090
91,151,Direct_Labor,1.00Bt,14937208.65,202402,2025-03-27 16:38:46.807
92,152,Indirect_Labor,1.00Bt,7653234.14,202402,2025-03-27 16:38:46.843
93,153,Outside_Process,1.00Bt,10803376.49,202402,2025-03-27 16:38:46.887
94,154,Indirect_Materials,1.00Bt,9161961.91,202402,2025-03-27 16:38:46.917
95,155,Repair_Maint,1.00Bt,1011408.21,202402,2025-03-27 16:38:46.967
96,156,Electric_Power,1.00Bt,2033743.11,202402,2025-03-27 16:38:47.017
97,157,Depreciation,1.00Bt,6288634.44,202402,2025-03-27 16:38:47.050
98,158,Other_F_O_H,1.00Bt,4327539.81999999,202402,2025-03-27 16:38:47.087
99,159,Allocation,1.00Bt,2595641.2,202402,2025-03-27 16:38:47.123
100,160,S_Time_Utilization_min,1min,6273509.89,202402,2025-03-27 16:38:47.157
101,366,Material,1.00Bt,44210869.74,202402,2025-03-07 08:38:20.590
102,396,F_O_H_total,1.00Bt,58812747.97,202402,2025-03-27 11:48:30.757
103,161,Direct_Labor,1.00Bt,14679688.26,202403,2025-03-27 16:38:47.250
104,162,Indirect_Labor,1.00Bt,7701469.47,202403,2025-03-27 16:38:47.293
105,163,Outside_Process,1.00Bt,11011575.72,202403,2025-03-27 16:38:47.360
106,164,Indirect_Materials,1.00Bt,8742367.02,202403,2025-03-27 16:38:47.433
107,165,Repair_Maint,1.00Bt,807229.91,202403,2025-03-27 16:38:47.490
108,166,Electric_Power,1.00Bt,2245210.64,202403,2025-03-27 16:38:47.540
109,167,Depreciation,1.00Bt,6444362.24,202403,2025-03-27 16:38:47.580
110,168,Other_F_O_H,1.00Bt,5062900.82,202403,2025-03-27 16:38:47.623
111,169,Allocation,1.00Bt,2666389.82,202403,2025-03-27 16:38:47.660
112,170,S_Time_Utilization_min,1min,6457916.47,202403,2025-03-27 16:38:47.700
113,367,Material,1.00Bt,46420488.44,202403,2025-03-07 08:38:20.950
114,381,F_O_H_total,1.00Bt,59361193.9,202403,2025-03-27 11:49:10.430
115,171,Direct_Labor,1.00Bt,14500115.85,202404,2025-04-07 14:21:26.513
116,172,Indirect_Labor,1.00Bt,7665533.89,202404,2025-04-07 14:21:26.590
117,173,Outside_Process,1.00Bt,10483629.69,202404,2025-04-07 14:21:26.613
118,174,Indirect_Materials,1.00Bt,6919224.01,202404,2025-04-07 14:21:26.630
119,175,Repair_Maint,1.00Bt,600285.58,202404,2025-04-07 14:21:26.660
120,176,Electric_Power,1.00Bt,2014462.93,202404,2025-04-07 14:21:26.683
121,177,Depreciation,1.00Bt,6817875.52,202404,2025-04-07 14:21:26.703
122,178,Other_F_O_H,1.00Bt,4755650.26,202404,2025-04-07 14:21:26.720
123,179,Allocation,1.00Bt,2601327.0,202404,2025-04-07 14:21:26.750
124,180,S_Time_Utilization_min,1min,5853176.66,202404,2025-03-27 16:38:48.180
125,368,Material,1.00Bt,47490454.76,202404,2025-03-07 08:38:21.273
126,382,F_O_H_total,1.00Bt,56358104.73,202404,2025-04-07 14:21:26.770
127,181,Direct_Labor,1.00Bt,15628095.2,202405,2025-04-07 14:21:26.890
128,182,Indirect_Labor,1.00Bt,7900014.37,202405,2025-04-07 14:21:26.907
129,183,Outside_Process,1.00Bt,10864454.08,202405,2025-04-07 14:21:26.923
130,184,Indirect_Materials,1.00Bt,7865753.27,202405,2025-04-07 14:21:26.947
131,185,Repair_Maint,1.00Bt,493216.62,202405,2025-04-07 14:21:26.963
132,186,Electric_Power,1.00Bt,2272343.82,202405,2025-04-07 14:21:26.983
